exam_type,category,prompt,choice1,choice2,choice3,choice4,correct_answer,model_answer,key_points,explanation,difficulty,image_url,tags,source,source_year,reference_text,code_snippet,code_language,image_urls,certificate_id
WRITTEN_CBT,1-1 AI·기계학습 기초,다음 설명에 해당하는 개념으로 가장 적절한 것은?,인공지능(AI),머신러닝(ML),가설 공간,회귀,1,,,"인공지능(AI): 환경이나 데이터를 인지·학습·추론하여 목표 달성을 위한 예측, 행동 선택, 계획을 수행하는 시스템",easy,,AI시험|객관식|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,"환경이나 데이터를 인지·학습·추론하여 목표 달성을 위한 예측, 행동 선택, 계획을 수행하는 시스템",,,,,ai-exam
WRITTEN_CBT,1-1 AI·기계학습 기초,인공지능(AI)에 대한 설명으로 가장 적절한 것은?,AI 범주 안에서 사람이 규칙을 모두 코딩하지 않고 데이터로부터 학습해 목적을 달성하는 접근 방법론,피처와 라벨의 관계를 표현할 수 있는 모든 후보 함수의 모음,연속적인 수치형 반응값을 예측하는 지도학습 문제,"환경이나 데이터를 인지·학습·추론하여 목표 달성을 위한 예측, 행동 선택, 계획을 수행하는 시스템",4,,,"인공지능(AI): 환경이나 데이터를 인지·학습·추론하여 목표 달성을 위한 예측, 행동 선택, 계획을 수행하는 시스템",hard,,AI시험|객관식|개념비교|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,,,,,,ai-exam
PRACTICAL_WRITTEN_RESPONSE,1-1 AI·기계학습 기초,다음 설명에 해당하는 용어를 쓰시오.,,,,,,인공지능(AI),인공지능(AI)|AI,"인공지능(AI): 환경이나 데이터를 인지·학습·추론하여 목표 달성을 위한 예측, 행동 선택, 계획을 수행하는 시스템",easy,,AI시험|단답형|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,"환경이나 데이터를 인지·학습·추론하여 목표 달성을 위한 예측, 행동 선택, 계획을 수행하는 시스템",,,,,ai-exam
WRITTEN_CBT,1-1 AI·기계학습 기초,다음 설명에 해당하는 개념으로 가장 적절한 것은?,피처(Feature),모델,분류,머신러닝(ML),4,,,머신러닝(ML): AI 범주 안에서 사람이 규칙을 모두 코딩하지 않고 데이터로부터 학습해 목적을 달성하는 접근 방법론,medium,,AI시험|객관식|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,AI 범주 안에서 사람이 규칙을 모두 코딩하지 않고 데이터로부터 학습해 목적을 달성하는 접근 방법론,,,,,ai-exam
WRITTEN_CBT,1-1 AI·기계학습 기초,머신러닝(ML)에 대한 설명으로 가장 적절한 것은?,가설 공간에 속하는 특정 함수,입력을 미리 정해진 범주 중 하나로 예측하는 지도학습 문제,AI 범주 안에서 사람이 규칙을 모두 코딩하지 않고 데이터로부터 학습해 목적을 달성하는 접근 방법론,모델이 예측에 사용하는 정보로서 판단의 근거 또는 단서가 되는 입력 특성,3,,,머신러닝(ML): AI 범주 안에서 사람이 규칙을 모두 코딩하지 않고 데이터로부터 학습해 목적을 달성하는 접근 방법론,medium,,AI시험|객관식|개념비교|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,,,,,,ai-exam
PRACTICAL_WRITTEN_RESPONSE,1-1 AI·기계학습 기초,다음 설명에 해당하는 용어를 쓰시오.,,,,,,머신러닝(ML),머신러닝(ML)|ML,머신러닝(ML): AI 범주 안에서 사람이 규칙을 모두 코딩하지 않고 데이터로부터 학습해 목적을 달성하는 접근 방법론,medium,,AI시험|단답형|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,AI 범주 안에서 사람이 규칙을 모두 코딩하지 않고 데이터로부터 학습해 목적을 달성하는 접근 방법론,,,,,ai-exam
WRITTEN_CBT,1-1 AI·기계학습 기초,다음 설명에 해당하는 개념으로 가장 적절한 것은?,학습,정밀도,피처(Feature),라벨(Label),3,,,피처(Feature): 모델이 예측에 사용하는 정보로서 판단의 근거 또는 단서가 되는 입력 특성,medium,,AI시험|객관식|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,모델이 예측에 사용하는 정보로서 판단의 근거 또는 단서가 되는 입력 특성,,,,,ai-exam
WRITTEN_CBT,1-1 AI·기계학습 기초,피처(Feature)에 대한 설명으로 가장 적절한 것은?,양성으로 예측한 표본 가운데 실제 양성인 표본의 비율,모델이 예측에 사용하는 정보로서 판단의 근거 또는 단서가 되는 입력 특성,모델이 예측하려는 정답 또는 목표값,데이터와 성능 척도를 바탕으로 가설 공간의 후보 중 최적 모델을 선택하는 과정,2,,,피처(Feature): 모델이 예측에 사용하는 정보로서 판단의 근거 또는 단서가 되는 입력 특성,medium,,AI시험|객관식|개념비교|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,,,,,,ai-exam
PRACTICAL_WRITTEN_RESPONSE,1-1 AI·기계학습 기초,다음 설명에 해당하는 용어를 쓰시오.,,,,,,피처(Feature),피처(Feature)|Feature,피처(Feature): 모델이 예측에 사용하는 정보로서 판단의 근거 또는 단서가 되는 입력 특성,medium,,AI시험|단답형|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,모델이 예측에 사용하는 정보로서 판단의 근거 또는 단서가 되는 입력 특성,,,,,ai-exam
WRITTEN_CBT,1-1 AI·기계학습 기초,다음 설명에 해당하는 개념으로 가장 적절한 것은?,재현율,라벨(Label),가설 공간,지도학습,2,,,라벨(Label): 모델이 예측하려는 정답 또는 목표값,medium,,AI시험|객관식|1-1 AI·기계학습 기초,1-1. AI 기계학습 기초 PDF 강의 정리본,,모델이 예측하려는 정답 또는 목표값,,,,,ai-exam
